model,star,number of ratings,number of reviews,system apps,operating sysytem,display,speaker,refresh rate,modes,warranty,price
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",32 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹33,299"
"APPLE iPhone 5s (Gold, 16 GB)",4.4,"62,720 Ratings "," 7,361 Reviews",16 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,Apple A7 64-bit processor and M7 Motion Co-processor,1 Year for Mobile & Accessories,,1 Year for Mobile & Accessories,"₹14,999"
"APPLE iPhone 5s (Space Grey, 16 GB)",4.4,"62,720 Ratings "," 7,361 Reviews",16 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,Apple A7 64-bit processor and M7 Motion Co-processor,1 Year Manufacturer Warranty,,1 Year Manufacturer Warranty,"₹25,000"
"APPLE iPhone 5s (Silver, 16 GB)",4.4,"62,720 Ratings "," 7,361 Reviews",16 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,Apple A7 64-bit processor and M7 Motion Co-processor,1 Year Manufacturer Warranty,,1 Year Manufacturer Warranty,"₹25,000"
"APPLE iPhone 6s (Silver, 32 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹25,399"
"APPLE iPhone 6s (Rose Gold, 32 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹25,399"
"APPLE iPhone 6s (Space Grey, 32 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹25,399"
"APPLE iPhone 6s Plus (Space Grey, 32 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",32 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹33,299"
"APPLE iPhone 6s Plus (Space Grey, 64 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹59,999"
"APPLE iPhone 6s (Rose Gold, 16 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹31,999"
"APPLE iPhone 6s Plus (Silver, 16 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",16 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹49,999"
"APPLE iPhone 6s Plus (Rose Gold, 64 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹59,999"
"APPLE iPhone 6s (Silver, 16 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹41,999"
"APPLE iPhone 6s Plus (Gold, 32 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",32 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹33,299"
"APPLE iPhone 6s (Silver, 64 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹49,999"
"APPLE iPhone 6s (Space Grey, 128 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹82,000"
"APPLE iPhone 6s (Space Grey, 16 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹62,000"
"APPLE iPhone 6s Plus (Space Grey, 16 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",16 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹72,000"
"APPLE iPhone 6s Plus (Gold, 128 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",128 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹92,000"
"APPLE iPhone 6s Plus (Rose Gold, 128 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",128 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹70,000"
"APPLE iPhone 6s (Silver, 128 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹55,999"
"APPLE iPhone 6s (Rose Gold, 128 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹55,999"
"APPLE iPhone 6s Plus (Space Grey, 128 GB)",4.4,"18,838 Ratings "," 2,381 Reviews",128 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹92,000"
"APPLE iPhone 6s (Gold, 128 GB)",4.5,"93,049 Ratings "," 9,245 Reviews",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,Brand Warranty of 1 Year,"₹55,999"
